dB20(mag(v("/net2" ?result "ac"))) X,dB20(mag(v("/net2" ?result "ac"))) Y
1,-6.094938773278033
1.445439770745927,-6.094938858005946
2.089296130854039,-6.094939035027629
3.019951720402016,-6.09493940387974
4.365158322401658,-6.094940172612943
6.309573444801931,-6.094941784073864
9.120108393559095,-6.094945148163957
13.18256738556407,-6.094952178542776
19.05460717963247,-6.09496686958849
27.54228703338165,-6.094997562428869
39.81071705534971,-6.095061679893896
57.54399373371566,-6.095195646090664
83.17637711026705,-6.095475545049577
120.2264434617412,-6.096060305107561
173.7800828749374,-6.097281961488012
251.1886431509578,-6.09983400422009
363.0780547701011,-6.105164377207802
524.8074602497721,-6.116294179432211
758.5775750291831,-6.139517454743324
1096.478196143184,-6.187906555930942
1584.893192461112,-6.288437858909679
2290.867652767771,-6.496042571815224
3311.311214825907,-6.919543561174589
4786.300923226378,-7.762825992755719
6918.309709189358,-9.367860076907059
9999.999999999989,-12.19805598898945
14454.39770745926,-16.66631925566698
20892.96130854037,-22.86506190747896
30199.51720402012,-30.5040633921374
43651.58322401653,-39.15509113526896
63095.73444801923,-48.52791524681574
91201.08393559082,-58.67081723275655
131825.6738556405,-70.44298698563354
190546.0717963244,-83.29150897639705
275422.8703338162,-80.30255030053272
398107.1705534965,-79.86398512591684
575439.9373371558,-81.58677068070821
831763.7711026693,-84.73054164547104
1202264.43461741,-89.11691661292539
1737800.828749372,-94.67552732108602
2511886.431509574,-101.1522344970194
3630780.547701005,-107.9886833835324
5248074.602497714,-114.4553880899147
7585775.75029182,-119.9021421646558
10964781.96143182,-123.9732631501676
15848931.9246111,-126.6776240543012
22908676.52767767,-128.2900341581108
33113112.14825903,-129.1712829064073
47863009.23226371,-129.6249252933069
69183097.09189346,-129.8499701738934
100000000,-129.9587317868166
