dB20(mag(v("/net2" ?result "ac"))) X,dB20(mag(v("/net2" ?result "ac"))) Y,dB20(mag(v("/I0/net4" ?result "ac"))) X,dB20(mag(v("/I0/net4" ?result "ac"))) Y,dB20(mag(v("/I0/net5" ?result "ac"))) X,dB20(mag(v("/I0/net5" ?result "ac"))) Y
1,5.946261053281216,1,5.971055392041903,1,5.995835472692377
1.445439770745927,5.946260968553302,1.445439770745927,5.971055335125609,1.445439770745927,5.995835444133993
2.089296130854039,5.946260791531619,2.089296130854039,5.971055216210633,2.089296130854039,5.995835384467083
3.019951720402016,5.946260422679509,3.019951720402016,5.97105496876064,3.019951720402016,5.995835260803847
4.365158322401658,5.946259653946306,4.365158322401658,5.971054453672394,4.365158322401658,5.995835004342789
6.309573444801931,5.946258042485383,6.309573444801931,5.971053372150861,6.309573444801931,5.995834463169985
9.120108393559095,5.946254678395292,9.120108393559095,5.971051115260865,9.120108393559095,5.99583333522828
13.18256738556407,5.946247648016472,13.18256738556407,5.971046398150023,13.18256738556407,5.995830976823817
19.05460717963247,5.94623295697076,19.05460717963247,5.97103654020218,19.05460717963247,5.995826046908033
27.54228703338165,5.94620226413038,27.54228703338165,5.97101594511718,27.54228703338165,5.995815747923666
39.81071705534971,5.946138146665351,39.81071705534971,5.970972924777875,39.81071705534971,5.995794239110374
57.54399373371566,5.946004180468584,57.54399373371566,5.970883036394622,57.54399373371566,5.995749294338226
83.17637711026705,5.945724281509671,83.17637711026705,5.970695228600419,83.17637711026705,5.995655388581401
120.2264434617412,5.945139521451687,120.2264434617412,5.970302866888206,120.2264434617412,5.995459203353898
173.7800828749374,5.943917865071236,173.7800828749374,5.969483160124278,173.7800828749374,5.995049342333282
251.1886431509578,5.941365822339158,251.1886431509578,5.967770790351668,251.1886431509578,5.994193143115003
363.0780547701011,5.936035449351446,363.0780547701011,5.964194221377322,363.0780547701011,5.992404826484891
524.8074602497721,5.924905647127037,524.8074602497721,5.956726356679771,524.8074602497721,5.98867082826788
758.5775750291831,5.901682371815924,758.5775750291831,5.941144035201549,758.5775750291831,5.980879519713461
1096.478196143184,5.853293270628305,1096.478196143184,5.908676043681838,1096.478196143184,5.964645194229718
1584.893192461112,5.75276196764957,1584.893192461112,5.841222095477021,1584.893192461112,5.93091743251802
2290.867652767771,5.545157254744025,2290.867652767771,5.701925961933964,2290.867652767771,5.861267318539914
3311.311214825907,5.121656265384658,3311.311214825907,5.417777236345525,3311.311214825907,5.719187134682777
4786.300923226378,4.278373833803529,4786.300923226378,4.852012462536766,4786.300923226378,5.4362875220953
6918.309709189358,2.673339749652189,6918.309709189358,3.775374085587734,6918.309709189358,4.897920173675902
9999.999999999989,-0.1568561624302003,9999.999999999989,1.877743842889071,9999.999999999989,3.948991719221622
14454.39770745926,-4.625119429107731,14454.39770745926,-1.115597340856237,14454.39770745926,2.452107013652868
20892.96130854037,-10.82386208091971,20892.96130854037,-5.262853335467975,20892.96130854037,0.3781054397510059
30199.51720402012,-18.46286356557815,30199.51720402012,-10.36584229795796,30199.51720402012,-2.174137732644161
43651.58322401653,-27.11389130870971,43651.58322401653,-16.1319925772026,43651.58322401653,-5.058966823888414
63095.73444801923,-36.48671542025649,63095.73444801923,-22.34065858314484,63095.73444801923,-8.167894896930717
91201.08393559082,-46.6296174061973,91201.08393559082,-28.89809592108046,91201.08393559082,-11.46013572547271
131825.6738556405,-58.40178715907429,131825.6738556405,-35.80631205460472,131825.6738556405,-14.95841807577579
190546.0717963244,-71.2503091498378,190546.0717963244,-43.03360660004888,190546.0717963244,-18.72102556664614
275422.8703338162,-68.26135047397348,275422.8703338162,-50.25629296707844,275422.8703338162,-22.77725977523351
398107.1705534965,-67.82278529935759,398107.1705534965,-56.89514604667465,398107.1705534965,-27.05905154590279
575439.9373371558,-69.54557085414896,575439.9373371558,-62.87311130752255,575439.9373371558,-31.44032114711845
831763.7711026693,-72.68934181891179,831763.7711026693,-68.64512428754738,831763.7711026693,-35.89305795238011
1202264.43461741,-77.07571678636614,1202264.43461741,-74.59304681643168,1202264.43461741,-40.5679406326149
1737800.828749372,-82.63432749452677,1737800.828749372,-80.90926318833381,1737800.828749372,-45.69115580300485
2511886.431509574,-89.11103467046014,2511886.431509574,-87.49907795173324,2511886.431509574,-51.39216774473977
3630780.547701005,-95.94748355697314,3630780.547701005,-93.91027183909384,3630780.547701005,-57.50493356864764
5248074.602497714,-102.4141882633555,5248074.602497714,-99.54012915530113,5248074.602497714,-62.79776725154886
7585775.75029182,-107.8609423380966,7585775.75029182,-103.9604627793117,7585775.75029182,-64.8581172693564
10964781.96143182,-111.9320633236084,10964781.96143182,-107.0727197536909,10964781.96143182,-64.73446315654606
15848931.9246111,-114.636424227742,15848931.9246111,-109.0461417353672,15848931.9246111,-64.36271311832324
22908676.52767767,-116.2488343315516,22908676.52767767,-110.1829216569043,22908676.52767767,-64.12692003271387
33113112.14825903,-117.1300830798481,33113112.14825903,-110.7898313653281,33113112.14825903,-64.00269508305823
47863009.23226371,-117.5837254667477,47863009.23226371,-111.0977459594356,47863009.23226371,-63.94019494837085
69183097.09189346,-117.8087703473341,69183097.09189346,-111.2490208012837,69183097.09189346,-63.90818067424183
100000000,-117.9175319602574,100000000,-111.3211995859406,100000000,-63.88944651519809
